,coeffs,curve-smooth,curve-split-number,splits-reduced,splits-smooth,splits-genera,splits-intersections,splits-classes,split-type,determinant,split-type2
98,"[1, 1, 0, 0, 0, 1, 1]",False,2,"[True, True]","[True, True]","[0, 0]","[[2, 2], [2, 0]]","[[0, 0, 1, 0, 2, 1], [0, 0, 0, 1, 0, 1]]",2,-4,1
99,"[1, 1, 0, 0, 1, 0, 0]",False,3,"[True, True, True]","[True, True, True]","[0, 0, 0]","[[-1, 1, 1], [1, -1, 1], [1, 1, 2]]","[[0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 0, 1, 1, 2]]",5,4,3
100,"[1, 1, 0, 0, 1, 0, 1]",False,2,"[True, True]","[True, True]","[0, 0]","[[-1, 2], [2, 3]]","[[0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 2, 2]]",3,-7,2
101,"[1, 1, 0, 0, 1, 1, 0]",True,1,[True],[True],[1],[[6]],"[[0, 1, 0, 2, 1, 2]]",0,6,0
102,"[1, 1, 0, 0, 1, 1, 1]",True,1,[True],[True],[1],[[6]],"[[0, 0, 1, 1, 2, 2]]",0,6,0
103,"[1, 1, 0, 1, 0, 0, 0]",False,4,"[True, True, True, True]","[True, True, True, True]","[0, 0, 0, 0]","[[1, 1, 0, 1], [1, -1, 1, 0], [0, 1, -1, 1], [1, 0, 1, -1]]","[[0, 0, 1, 0, 1, 1], [0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",14,-1,5
104,"[1, 1, 0, 1, 0, 0, 1]",False,2,"[True, True]","[True, True]","[0, 0]","[[-1, 2], [2, 3]]","[[0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 2, 2]]",3,-7,2
105,"[1, 1, 0, 1, 0, 1, 0]",False,2,"[True, True]","[True, True]","[0, 0]","[[3, 2], [2, -1]]","[[0, 0, 2, 0, 2, 1], [1, 0, 0, 0, 0, 0]]",4,-7,2
106,"[1, 1, 0, 1, 0, 1, 1]",True,1,[True],[True],[1],[[6]],"[[0, 0, 1, 1, 2, 2]]",0,6,0
107,"[1, 1, 0, 1, 1, 0, 0]",False,4,"[True, True, True, True]","[True, True, True, True]","[0, 0, 0, 0]","[[0, 1, 1, 0], [1, 0, 0, 1], [1, 0, -1, 1], [0, 1, 1, -1]]","[[0, 0, 0, 0, 1, 1], [0, 0, 0, 1, 0, 1], [0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0]]",11,-1,5
108,"[1, 1, 0, 1, 1, 0, 1]",False,2,"[True, True]","[True, True]","[0, 0]","[[-1, 2], [2, 3]]","[[0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 2, 2]]",3,-7,2
109,"[1, 1, 0, 1, 1, 1, 0]",True,1,[True],[True],[1],[[6]],"[[0, 1, 0, 2, 1, 2]]",0,6,0
110,"[1, 1, 0, 1, 1, 1, 1]",False,2,"[True, True]","[True, True]","[0, 0]","[[2, 2], [2, 0]]","[[0, 0, 1, 0, 2, 1], [0, 0, 0, 1, 0, 1]]",2,-4,1
111,"[1, 1, 1, 0, 0, 0, 0]",False,3,"[True, True, True]","[True, True, True]","[0, 0, 0]","[[2, 1, 1], [1, -1, 1], [1, 1, -1]]","[[0, 1, 0, 2, 0, 1], [0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",6,4,3
112,"[1, 1, 1, 0, 0, 0, 1]",True,1,[True],[True],[1],[[6]],"[[0, 0, 1, 1, 2, 2]]",0,6,0
113,"[1, 1, 1, 0, 0, 1, 0]",False,2,"[True, True]","[True, True]","[0, 0]","[[3, 2], [2, -1]]","[[0, 0, 2, 0, 2, 1], [1, 0, 0, 0, 0, 0]]",4,-7,2
114,"[1, 1, 1, 0, 0, 1, 1]",True,1,[True],[True],[1],[[6]],"[[0, 0, 1, 1, 2, 2]]",0,6,0
